method,curve,split,MAE,MSE,RMSE,MAPE
Tissue,M:100M_gpt_D:20B_scheduler:cosine_rope,fit,0.0772986124947914,0.0236468326802239,0.1537752668026425,2.4019027492330034
Tissue,M:100M_gpt_D:20B_scheduler:wsd_rope,main_test,0.1536438485702361,0.0411096134094309,0.2027550576667101,5.14286434889706
Tissue,M:100M_gpt_D:20B_scheduler:811_rope,additional_test,0.150823760381161,0.0401011827204081,0.200252797035168,5.037829071063359
Simplified MPL,M:100M_gpt_D:20B_scheduler:cosine_rope,fit,0.0772968218148559,0.0236468326762863,0.1537752667898397,2.401840692655259
Simplified MPL,M:100M_gpt_D:20B_scheduler:wsd_rope,main_test,0.1536404046462358,0.0411088352241897,0.2027531386296887,5.142741973786425
Simplified MPL,M:100M_gpt_D:20B_scheduler:811_rope,additional_test,0.15082037185603,0.0401004642898998,0.2002510032182106,5.037708616966309
Weighted Tissue,M:100M_gpt_D:20B_scheduler:cosine_rope,fit,0.0719997636069157,0.0239094574739819,0.1546268329688672,2.2043457169371323
Weighted Tissue,M:100M_gpt_D:20B_scheduler:wsd_rope,main_test,0.1399901139500552,0.0377749574676138,0.1943578078380539,4.641534991484888
Weighted Tissue,M:100M_gpt_D:20B_scheduler:811_rope,additional_test,0.1371725971648218,0.0369278220501224,0.1921661313814754,4.536335702587375
